"cluster_index","features","M.Z","RT","Annotation","Cosine.Score","No..of.Shared.Peaks","Mass.Diff..to.Library.Reference","ppm.error","Analog.","Nearest.Neighbors","Proximity","classes","CF_superclass_score"
2138,"X716.485_3.266",716.485,3.266,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.953298,7,9.94611,14077.2,"Yes","Spectral Match to 1-Octadecanoyl-2-octadecenoyl-sn-glycero-3-phosphocholine from NIST14","First","Lipids and lipid-like molecules",0.162162162
2143,"X796.512_3.283",796.512,3.283,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.935454,7,89.9729,127343,"Yes","Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
2149,"X736.476_3.119",736.476,3.119,"Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14",0.94146,8,3.92291,5355.12,"Yes","Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
2152,"X812.506_3.308",812.506,3.308,"Spectral Match to 1-Hexadecyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14",0.840484,11,65.937,88320.1,"Yes","Spectral Match to 1-Palmitoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine from NIST14","First","Lipids and lipid-like molecules",0.03030303
2156,"X798.563_3.38",798.563,3.38,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.938497,7,92.0243,130247,"Yes","Spectral Match to 1-Oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","Lipids and lipid-like molecules",0.03030303
2157,"X111.044_2.768",111.044,2.768,NA,NA,NA,NA,NA,"No","Self-Loop","Self-Loop","no matches",0
2164,"X798.526_3.347",798.526,3.347,"Spectral Match to 1-Oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.926819,10,37.9442,49888.4,"Yes","Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","Lipids and lipid-like molecules",0.03030303
2169,"X798.527_3.266",798.527,3.266,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.940515,7,91.9882,130196,"Yes","Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
2176,"X814.522_3.363",814.522,3.363,"Spectral Match to 1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine from NIST14",0.885295,8,3.92273,4839.3,"Yes","Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
2182,"X796.542_2.973",796.542,2.973,NA,NA,NA,NA,NA,"No","Spectral Match to p-tert-Octylphenol undecaglycol ether from NIST14","First","no matches",0
2186,"X566.551_4.344",566.551,4.344,"Cer(d18:1/22:1); [M+H]+ C40H78N1O3",0.841646,8,53.0392,85603.8,"Yes","N-[1,3-dihydroxyoctadec-4-en-2-yl]hexadecanamide","First","no matches",0
2191,"X710.461_3.089",710.461,3.089,"Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14",0.923805,7,22.0924,30158.1,"Yes","Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
2197,"X564.365_3.022",564.365,3.022,"Spectral Match to 1-Palmitoyl-2-glutaryl phosphatidylcholine from NIST14",0.827238,5,46.006,75373.8,"Yes","DIDECANOYL-GLYCEROPHOSPHOCHOLINE","First Analog","no matches",0
2198,"X814.521_3.283",814.521,3.283,"Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14",0.935944,9,79.9513,108841,"Yes","Self-Loop","Self-Loop","no matches",0
2225,"X428.338_3.022",428.338,3.022,NA,NA,NA,NA,NA,"No","Spectral Match to p-tert-Octylphenol pentaglycol ether from NIST14","Second Analog","no matches",0
2243,"X524.278_2.709",524.278,2.709,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
2263,"X756.435_3.368",756.435,3.368,NA,NA,NA,NA,NA,"No","Spectral Match to 1-Myristoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","Organic acids and derivatives",0.058823529
2268,"X782.531_3.376",782.531,3.376,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.945127,7,75.992,107555,"Yes","Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
3061,"X427.305_3.019",427.305,3.019,"Spectral Match to p-tert-Octylphenol pentaglycol ether from NIST14",0.87629,13,0.000396729,0.928443,"No","Spectral Match to p-tert-Octylphenol tetraglycol ether from NIST14","First","no matches",0
3072,"X458.23_2.165",458.23,2.165,NA,NA,NA,NA,NA,"No","Self-Loop","Self-Loop","no matches",0
3078,"X669.418_2.994",669.418,2.994,NA,NA,NA,NA,NA,"No","Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
3079,"X706.399_2.251",706.399,2.251,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
3089,"X443.633_2.199",443.633,2.199,NA,NA,NA,NA,NA,"No","Self-Loop","Self-Loop","no matches",0
3103,"X830.553_3.41",830.553,3.41,"Spectral Match to 1,2-Diarachidonoyl-sn-glycero-3-phosphocholine from NIST14",0.847738,9,0.0106201,12.7866,"No","Self-Loop","Self-Loop","no matches",0
3107,"X495.341_2.956",495.341,2.956,"Spectral Match to p-tert-Octylphenol heptaglycol ether from NIST14",0.806709,14,474.319,38838.3,"Yes","Spectral Match to p-tert-Octylphenol heptaglycol ether from NIST14","First Analog","no matches",0
3128,"X220.098_2.367",220.098,2.367,"Massbank:FIO00183 6-Methylcoumarin",0.836505,5,59.0377,366557,"Yes","Self-Loop","Self-Loop","no matches",0
3139,"X664.418_3.159",664.418,3.159,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.925873,7,42.1206,59615.4,"Yes","Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
3157,"X882.585_3.363",882.585,3.363,"Spectral Match to 1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine from NIST14",0.964752,11,71.9859,88805.8,"Yes","Spectral Match to 1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
3159,"X366.785_2.164",366.785,2.164,NA,NA,NA,NA,NA,"No","Self-Loop","Self-Loop","no matches",0
3160,"X399.394_3.159",399.394,3.159,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
3202,"X802.558_3.408",802.558,3.408,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.958387,8,96.0193,135901,"Yes","Self-Loop","Self-Loop","no matches",0
3210,"X914.576_3.148",914.576,3.148,"Spectral Match to N-Tetracosanoyl-4-sphingenyl-1-O-phosphorylcholine from NIST14",0.913602,8,98.8677,121205,"Yes","Spectral Match to 1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
3214,"X386.717_2.856",386.717,2.856,"[(2E,6Z,10Z)-7,11-bis(acetyloxymethyl)-3,15-dimethylhexadeca-2,6,10,14-tetraenyl] acetate",0.854877,7,306.11,170698,"Yes","Self-Loop","Self-Loop","no matches",0
3219,"X826.558_3.367",826.558,3.367,"Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14",0.943468,8,91.9878,125227,"Yes","Spectral Match to 1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine from NIST14","First Analog","Lipids and lipid-like molecules",0.03030303
3221,"X900.523_3.027",900.523,3.027,"Spectral Match to 1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine from NIST14",0.954147,11,89.924,110935,"Yes","Spectral Match to 1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
3222,"X177.114_5.515",177.114,5.515,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
3229,"X664.418_3.004",664.418,3.004,"Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14",0.935916,10,70.152,95500.7,"Yes","Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
3231,"X758.531_3.388",758.531,3.388,"Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14",0.912515,7,23.9651,32624.9,"Yes","Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
3235,"X553.315_3.018",553.315,3.018,NA,NA,NA,NA,NA,"No","Self-Loop","Self-Loop","no matches",0
3236,"X634.371_2.921",634.371,2.921,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.941699,7,72.1679,102143,"Yes","Self-Loop","Self-Loop","no matches",0
3248,"X400.732_2.96",400.732,2.96,NA,NA,NA,NA,NA,"No","Spectral Match to 1-Myristoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
3263,"X676.418_3.107",676.418,3.107,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.947049,7,30.1214,42632.3,"Yes","Self-Loop","Self-Loop","no matches",0
3264,"X928.555_3.093",928.555,3.093,"1,2-Dierucoyl-sn-glycero-3-phosphocholine",0.898819,6,29.8281,33189.3,"Yes","Spectral Match to N-Tetracosanoyl-4-sphingenyl-1-O-phosphorylcholine from NIST14","First Analog","no matches",0
4282,"X354.264_2.856",354.264,2.856,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
4285,"X800.578_3.681",800.578,3.681,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.943774,7,94.0393,133099,"Yes","Self-Loop","Self-Loop","no matches",0
4292,"X377.146_2.225",377.146,2.225,"RIBOFLAVIN",0.938568,14,0.000396729,1.05192,"No","RIBOFLAVIN - 50.0 eV","First Analog","no matches",0
4312,"X584.335_2.714",584.335,2.714,"Spectral Match to Lyso-PC(16:0) from NIST14",0.937152,7,88.0062,177314,"Yes","Massbank:PR310841 LPC 18:3","Second","Lipids and lipid-like molecules",0.115789474
4327,"X784.584_5.594",784.584,5.594,"Spectral Match to Arachidonoylthio-PC from NIST14",0.939724,8,0.000305176,0.388965,"No","Spectral Match to 1-Octadecanoyl-2-octadecenoyl-sn-glycero-3-phosphocholine from NIST14","First","Lipids and lipid-like molecules",0.162162162
4330,"X335.222_2.829",335.222,2.829,"4-[2-[(1R,4aS,5R,8aS)-6-hydroxy-5-(hydroxymethyl)-5,8a-dimethyl-2-methylidene-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]ethyl]-2H-furan-5-one",0.72023,6,0.000396729,1.18348,"No","4-[2-[(1R,4aS,5R,8aS)-6-hydroxy-5-(hydroxymethyl)-5,8a-dimethyl-2-methylidene-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]ethyl]-2H-furan-5-one","First","no matches",0
4335,"X510.284_2.604",510.284,2.604,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
4338,"X476.277_2.699",476.277,2.699,"Spectral Match to 1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14",0.809373,11,21.9864,48397.2,"Yes","Self-Loop","Self-Loop","no matches",0
4340,"X800.542_3.527",800.542,3.527,"Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14",0.873053,7,67.9891,92811.2,"Yes","Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
4341,"X508.376_2.995",508.376,2.995,"Spectral Match to 1-(1Z-Octadecenyl)-sn-glycero-3-phosphocholine from NIST14",0.862112,8,0.00140381,2.76136,"No","Spectral Match to 1-(1Z-Octadecenyl)-sn-glycero-3-phosphocholine from NIST14","First","Lipids and lipid-like molecules",0.196969697
4358,"X301.216_2.934",301.216,2.934,"Massbank:PR303656 Resibufogenin",0.830544,9,84.021,218102,"Yes","Spectral Match to (.+/-.)-11-Hydroxy-4Z,7Z,9E,13Z,16Z,19Z-docosahexaenoic acid from NIST14","First","Lipids and lipid-like molecules",0.166666667
4373,"X534.284_2.699",534.284,2.699,NA,NA,NA,NA,NA,"No","Spectral Match to 1-Hexadecyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14","Third Analog","Lipids and lipid-like molecules",0.03030303
4378,"X854.552_3.333",854.552,3.333,"Spectral Match to 1-Oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.939935,9,93.9705,123551,"Yes","Self-Loop","Self-Loop","no matches",0
4379,"X317.211_2.822",317.211,2.822,"Massbank:NA003462 (+)-Costunolide|Costunolide|(3aS,6E,10E,11aR)-6,10-dimethyl-3-methylidene-3a,4,5,8,9,11a-hexahydrocyclodeca[b]furan-2-one",0.753686,8,84.0573,360523,"Yes","4-[2-[(1R,4aS,5R,8aS)-6-hydroxy-5-(hydroxymethyl)-5,8a-dimethyl-2-methylidene-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]ethyl]-2H-furan-5-one","First","no matches",0
4380,"X756.516_3.487",756.516,3.487,"Spectral Match to 1,2-Dilinoleoyl-sn-glycero-3-phosphocholine from NIST14",0.869044,6,26.0547,33293.7,"Yes","Spectral Match to 1,2-Di-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
4385,"X800.542_3.562",800.542,3.562,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.885554,7,94.0027,133047,"Yes","Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
4388,"X434.197_2.398",434.197,2.398,NA,NA,NA,NA,NA,"No","GLUTATHIONE REDUCED","Second","Organic acids and derivatives",0.25
4392,"X844.532_3.254",844.532,3.254,"Spectral Match to 1-Oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.949063,10,83.9501,110376,"Yes","Self-Loop","Self-Loop","no matches",0
4393,"X832.568_3.188",832.568,3.188,"Spectral Match to 1-Oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.947942,10,71.9863,94646.4,"Yes","Spectral Match to 1-Oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
4395,"X616.36_3.007",616.36,3.007,NA,NA,NA,NA,NA,"No","Spectral Match to 1-Palmitoyl-2-glutaryl phosphatidylcholine from NIST14","First Analog","no matches",0
4398,"X335.222_2.714",335.222,2.714,"4-[2-[(1R,4aS,5R,8aS)-6-hydroxy-5-(hydroxymethyl)-5,8a-dimethyl-2-methylidene-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]ethyl]-2H-furan-5-one",0.72023,6,0.000396729,1.18348,"No","4-[2-[(1R,4aS,5R,8aS)-6-hydroxy-5-(hydroxymethyl)-5,8a-dimethyl-2-methylidene-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]ethyl]-2H-furan-5-one","First","no matches",0
4399,"X367.212_2.601",367.212,2.601,NA,NA,NA,NA,NA,"No","Self-Loop","Self-Loop","no matches",0
4408,"X766.537_3.735",766.537,3.735,"PE(18:0/20:5); [M+H]+ C43H77N1O8P1",0.720666,16,1.00592,1314.02,"Yes","Self-Loop","Self-Loop","no matches",0
4416,"X328.285_2.89",328.285,2.89,"Spectral Match to D-erythro-C18-Sphingosine from NIST14",0.85827,6,27.9955,93228.5,"Yes","IbuprofenLysine","First Analog","no matches",0
4420,"X558.284_2.634",558.284,2.634,"Spectral Match to Lyso-PC(16:0) from NIST14",0.900604,7,61.9548,124826,"Yes","Spectral Match to Lyso-PC(16:0) from NIST14","First Analog","Lipids and lipid-like molecules",0.03030303
4424,"X618.376_3.083",618.376,3.083,NA,NA,NA,NA,NA,"No","DIDECANOYL-GLYCEROPHOSPHOCHOLINE","First Analog","no matches",0
4428,"X560.335_2.722",560.335,2.722,"Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine from NIST14",0.929854,8,37.9748,72698.5,"Yes","Massbank:PR310841 LPC 18:3","Second","Lipids and lipid-like molecules",0.115789474
4438,"X746.569_5.577",746.569,5.577,"PE(18:0/18:1); [M+H]+ C41H81N1O8P1",0.748366,8,1.00726,1351.01,"Yes","Spectral Match to 1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphoethanolamine from NIST14","Second","Lipids and lipid-like molecules",0.047619048
4453,"X650.365_2.953",650.365,2.953,"Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14",0.937124,9,84.2045,114631,"Yes","Self-Loop","Self-Loop","no matches",0
4459,"X309.156_2.415",309.156,2.415,"Spectral Match to .alpha.-CMBHC from NIST14",0.840297,5,12.0495,37513.3,"Yes","Spectral Match to Xanthosine from NIST14","First","Nucleosides, nucleotides, and analogues",0.245901639
4460,"X738.419_3.081",738.419,3.081,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.946081,7,31.8799,45121.2,"Yes","Self-Loop","Self-Loop","no matches",0
4478,"X818.552_3.289",818.552,3.289,"Spectral Match to 1,2-Dihexadecanoyl-sn-glycero-3-phosphocholine from NIST14",0.938845,8,83.981,114327,"Yes","Self-Loop","Self-Loop","no matches",0
4480,"X291.146_2.39",291.146,2.39,"Massbank:EQ313503 Didanosine|9-[(2R,5S)-5-(hydroxymethyl)-2-oxolanyl]-3H-purin-6-one",0.939559,4,54.0482,227957,"Yes","INOSINE - 50.0 eV","First","Nucleosides, nucleotides, and analogues",0.245901639
4488,"X353.232_2.638",353.232,2.638,"Spectral Match to Prostaglandin I3 from NIST14",0.83743,11,2.01361,5733.22,"Yes","Spectral Match to Prostaglandin I3 from NIST14","First Analog","no matches",0
4494,"X604.362_3.06",604.362,3.06,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
4498,"X644.392_3.113",644.392,3.113,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
4507,"X359.222_2.857",359.222,2.857,"MoNA:669065 DEHYDROEPIANDROSTERONE",0.769436,11,70.0058,242054,"Yes","Spectral Match to 13,14-Dihydro-15-ketoprostaglandin D1 from NIST14","First Analog","no matches",0
4523,"X748.475_3.074",748.475,3.074,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.936329,7,41.9359,59354,"Yes","Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
4524,"X1147.751_3.056",1147.751,3.056,NA,NA,NA,NA,NA,"No","Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14","Fourth Analog","no matches",0
4525,"X782.532_3.599",782.532,3.599,"Spectral Match to 1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14",0.75661,10,0.0361938,46.2501,"Yes","Spectral Match to 1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
4539,"X876.521_3.124",876.521,3.124,"Spectral Match to 1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine from NIST14",0.959061,12,65.9222,81325.3,"Yes","Spectral Match to 1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
4556,"X600.33_2.645",600.33,2.645,"Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine from NIST14",0.913575,8,77.97,149265,"Yes","Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine from NIST14","First Analog","Lipids and lipid-like molecules",0.115789474
4565,"X812.506_3.18",812.506,3.18,"Spectral Match to 1,2-Dilinoleoyl-sn-glycero-3-phosphocholine from NIST14",0.89373,9,29.9352,38252.4,"Yes","Spectral Match to 1-Palmitoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine from NIST14","Second","Lipids and lipid-like molecules",0.03030303
4575,"X576.33_2.713",576.33,2.713,"Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine from NIST14",0.897536,9,53.9698,103319,"Yes","Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
4578,"X828.502_3.06",828.502,3.06,"Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14",0.949623,11,93.9318,127873,"Yes","Self-Loop","Self-Loop","no matches",0
4587,"X912.56_3.159",912.56,3.159,"Spectral Match to N-Tetracosenoyl-4-sphingenyl-1-O-phosphorylcholine from NIST14",0.921415,6,98.8769,121518,"Yes","Spectral Match to N-Tetracosenoyl-4-sphingenyl-1-O-phosphorylcholine from NIST14","First Analog","no matches",0
4589,"X165.055_0.414",165.055,0.414,"Spectral Match to L-Tyrosine from NIST14",0.924431,5,0.00379944,23.0198,"No","Spectral Match to L-Tyrosine from NIST14","First","Organoheterocyclic compounds",0.692307692
4600,"X842.552_3.284",842.552,3.284,"Spectral Match to 1-Oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.880434,7,81.9699,107773,"Yes","Spectral Match to 1-Palmitoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine from NIST14","First","Lipids and lipid-like molecules",0.03030303
4603,"X632.392_2.97",632.392,2.97,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.927454,6,74.1471,104944,"Yes","Self-Loop","Self-Loop","no matches",0
4611,"X574.278_2.793",574.278,2.793,NA,NA,NA,NA,NA,"No","Self-Loop","Self-Loop","no matches",0
4633,"X800.542_3.395",800.542,3.395,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.95089,7,94.0027,133047,"Yes","Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
4640,"X464.208_2.321",464.208,2.321,"Spectral Match to 4-Hydroxynonenal glutathione from NIST14",0.806997,9,0.00369263,7.95475,"No","GLUTATHIONE REDUCED","First","Organic acids and derivatives",0.25
4643,"X826.595_3.872",826.595,3.872,"Spectral Match to 1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine from NIST14",0.945562,8,15.9959,19733.4,"Yes","Self-Loop","Self-Loop","no matches",0
4703,"X400.158_0.333",400.158,0.333,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
4721,"X776.579_3.701",776.579,3.701,"Spectral Match to Docosahexaenoyl PAF C-16 from NIST14",0.953842,8,16.0107,20200.5,"Yes","Self-Loop","Self-Loop","no matches",0
4722,"X538.351_2.868",538.351,2.868,"Spectral Match to Lyso-PC(16:0) from NIST14",0.949093,7,42.0221,84665.7,"Yes","Self-Loop","Self-Loop","no matches",0
4763,"X230.212_2.638",230.212,2.638,"Spectral Match to Palmitelaidic acid from NIST14",0.828557,9,7.0094,29548,"Yes","Spectral Match to Palmitelaidic acid from NIST14","First Analog","no matches",0
4798,"X907.526_2.579",907.526,2.579,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
4807,"X907.276_2.579",907.276,2.579,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
4847,"X761.402_2.875",761.402,2.875,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.924241,7,54.863,77650.3,"Yes","Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
4859,"X540.272_2.718",540.272,2.718,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
4864,"X732.445_3.057",732.445,3.057,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.94875,7,25.9056,36665.5,"Yes","Self-Loop","Self-Loop","no matches",0
4867,"X880.569_3.459",880.569,3.459,"Spectral Match to 1-Octadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine from NIST14",0.961054,12,69.9701,86319,"Yes","Self-Loop","Self-Loop","no matches",0
4868,"X262.129_0.406",262.129,0.406,"LAUROYLCARNITINE",0.917613,6,82.1514,238618,"Yes","O-ACETYLCARNITINE","First Analog","no matches",0
4873,"X333.192_2.619",333.192,2.619,"CAPSAICIN",0.821611,4,26.9865,88131.9,"Yes","Dihydrocapsaicin","First Analog","Nucleosides, nucleotides, and analogues",0.245901639
4875,"X400.158_0.426",400.158,0.426,NA,NA,NA,NA,NA,"No",NA,"None","no matches",0
4881,"X331.177_2.552.1",331.177,2.552,"MoNA:684423 9-[(2R,5S)-5-(hydroxymethyl)-2-oxolanyl]-3H-purin-6-one",0.915683,4,94.0793,396795,"Yes","INOSINE - 50.0 eV","Second","Nucleosides, nucleotides, and analogues",0.245901639
4894,"X251.114_2.071",251.114,2.071,"Dihydrocapsaicin",0.890875,4,57.1067,185278,"Yes","INOSINE - 50.0 eV","Second","Nucleosides, nucleotides, and analogues",0.245901639
4899,"X446.196_2.386",446.196,2.386,"Spectral Match to 4-Hydroxynonenal glutathione from NIST14",0.822972,8,18.0077,38792.7,"Yes","GLUTATHIONE REDUCED","First","Organic acids and derivatives",0.25
4905,"X784.548_3.742",784.548,3.742,"Spectral Match to 1-Oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.927693,9,23.9656,31509.6,"Yes","Self-Loop","Self-Loop","no matches",0
4909,"X784.547_3.568",784.547,3.568,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.94423,7,78.0076,110408,"Yes","Self-Loop","Self-Loop","no matches",0
4921,"X786.563_3.567",786.563,3.567,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.956764,7,80.0236,113261,"Yes","Spectral Match to 1-Octadecanoyl-2-octadecenoyl-sn-glycero-3-phosphocholine from NIST14","First","Lipids and lipid-like molecules",0.162162162
4922,"X804.555_3.448",804.555,3.448,"Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14",0.946032,10,72.002,98289.2,"Yes","Self-Loop","Self-Loop","no matches",0
4925,"X786.563_3.593",786.563,3.593,"Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14",0.953479,7,80.0236,113261,"Yes","Spectral Match to 1-Myristoyl-2-stearoyl-sn-glycero-3-phosphocholine from NIST14","First Analog","no matches",0
